Time [s], Analyzer Name, Decoded Protocol Result
0.513023000000000,pin5,'252' (0xFC)
0.517607000000000,pin5,B (0x42)
0.522191000000000,pin5,'1' (0x01)
0.526774000000000,pin5,0 (0x30)
0.531358000000000,pin5,'16' (0x10)
0.535942000000000,pin5,'2' (0x02)
0.540525000000000,pin5,'0' (0x00)
0.545109000000000,pin5,'0' (0x00)
0.549692000000000,pin5,'0' (0x00)
0.554276000000000,pin5,'0' (0x00)
0.558860000000000,pin5,'0' (0x00)
0.563443000000000,pin5,'0' (0x00)
0.568027000000000,pin5,'0' (0x00)
0.572610000000000,pin5,'0' (0x00)
0.577194000000000,pin5,'0' (0x00)
0.581778000000000,pin5,'0' (0x00)
0.586361000000000,pin5,'0' (0x00)
0.590945000000000,pin5,'0' (0x00)
0.595529000000000,pin5,'0' (0x00)
0.600112000000000,pin5,'0' (0x00)
0.604696000000000,pin5,'0' (0x00)
0.609279000000000,pin5,{ (0x7B)
0.627100000000000,pin4,'252' (0xFC)
0.631613000000000,pin4,b (0x62)
0.636126000000000,pin4,'1' (0x01)
0.640640000000000,pin4,0 (0x30)
0.645153000000000,pin4,'16' (0x10)
0.649667000000000,pin4,'2' (0x02)
0.654180000000000,pin4,'0' (0x00)
0.658693000000000,pin4,'0' (0x00)
0.663207000000000,pin4,'0' (0x00)
0.667720000000000,pin4,'7' (0x07)
0.672233000000000,pin4,'12' (0x0C)
0.676747000000000,pin4,'5' (0x05)
0.681260000000000,pin4,'1' (0x01)
0.685774000000000,pin4,'0' (0x00)
0.690287000000000,pin4,'0' (0x00)
0.694800000000000,pin4,'0' (0x00)
0.699314000000000,pin4,'166' (0xA6)
0.703827000000000,pin4,'0' (0x00)
0.708341000000000,pin4,'0' (0x00)
0.712854000000000,pin4,'0' (0x00)
0.717367000000000,pin4,'0' (0x00)
0.721881000000000,pin4,'156' (0x9C)
0.750851000000000,pin5,'252' (0xFC)
0.755434000000000,pin5,B (0x42)
0.760018000000000,pin5,'1' (0x01)
0.764601000000000,pin5,0 (0x30)
0.769185000000000,pin5,'16' (0x10)
0.773769000000000,pin5,'3' (0x03)
0.778352000000000,pin5,'0' (0x00)
0.782936000000000,pin5,'0' (0x00)
0.787519000000000,pin5,'0' (0x00)
0.792103000000000,pin5,'0' (0x00)
0.796687000000000,pin5,'0' (0x00)
0.801270000000000,pin5,'0' (0x00)
0.805854000000000,pin5,'0' (0x00)
0.810438000000000,pin5,'0' (0x00)
0.815021000000000,pin5,'0' (0x00)
0.819605000000000,pin5,'0' (0x00)
0.824188000000000,pin5,'0' (0x00)
0.828772000000000,pin5,'0' (0x00)
0.833356000000000,pin5,'0' (0x00)
0.837939000000000,pin5,'0' (0x00)
0.842523000000000,pin5,'0' (0x00)
0.847106000000000,pin5,z (0x7A)
0.867002000000000,pin4,'252' (0xFC)
0.871515000000000,pin4,b (0x62)
0.876029000000000,pin4,'1' (0x01)
0.880542000000000,pin4,0 (0x30)
0.885055000000000,pin4,'16' (0x10)
0.889569000000000,pin4,'3' (0x03)
0.894082000000000,pin4,'0' (0x00)
0.898596000000000,pin4,'0' (0x00)
0.903109000000000,pin4,'8' (0x08)
0.907622000000000,pin4,'0' (0x00)
0.912136000000000,pin4,'150' (0x96)
0.916649000000000,pin4,'165' (0xA5)
0.921163000000000,pin4,'0' (0x00)
0.925676000000000,pin4,'0' (0x00)
0.930189000000000,pin4,'0' (0x00)
0.934703000000000,pin4,'0' (0x00)
0.939216000000000,pin4,'0' (0x00)
0.943730000000000,pin4,'0' (0x00)
0.948243000000000,pin4,'0' (0x00)
0.952756000000000,pin4,'0' (0x00)
0.957270000000000,pin4,'0' (0x00)
0.961783000000000,pin4,'23' (0x17)
0.989667000000000,pin5,'252' (0xFC)
0.994251000000000,pin5,A (0x41)
0.998834000000000,pin5,'1' (0x01)
1.003418000000000,pin5,0 (0x30)
1.008002000000000,pin5,'16' (0x10)
1.012585000000000,pin5,'1' (0x01)
1.107725000000000,pin4,'252' (0xFC)
1.112238000000000,pin4,a (0x61)
1.116751000000000,pin4,'1' (0x01)
1.121265000000000,pin4,0 (0x30)
1.125778000000000,pin4,'16' (0x10)
1.130292000000000,pin4,'0' (0x00)
1.044671000000000,pin5,'0' (0x00)
1.049254000000000,pin5,'0' (0x00)
1.053838000000000,pin5,'0' (0x00)
1.058421000000000,pin5,'0' (0x00)
1.063005000000000,pin5,'0' (0x00)
1.067589000000000,pin5,'0' (0x00)
1.072172000000000,pin5,'0' (0x00)
1.076756000000000,pin5,'128' (0x80)
1.081340000000000,pin5,'0' (0x00)
1.085923000000000,pin5,'252' (0xFC)
1.107725000000000,pin4,'252' (0xFC)
1.112238000000000,pin4,a (0x61)
