Time [s], Analyzer Name, Decoded Protocol Result
1.068688000000000,pin5,'252' (0xFC)
1.073271000000000,pin5,B (0x42)
1.077855000000000,pin5,'1' (0x01)
1.082439000000000,pin5,0 (0x30)
1.087022000000000,pin5,'16' (0x10)
1.091606000000000,pin5,'2' (0x02)
1.096190000000000,pin5,'0' (0x00)
1.100773000000000,pin5,'0' (0x00)
1.105357000000000,pin5,'0' (0x00)
1.109940000000000,pin5,'0' (0x00)
1.114524000000000,pin5,'0' (0x00)
1.119108000000000,pin5,'0' (0x00)
1.123691000000000,pin5,'0' (0x00)
1.128275000000000,pin5,'0' (0x00)
1.132858000000000,pin5,'0' (0x00)
1.137442000000000,pin5,'0' (0x00)
1.142026000000000,pin5,'0' (0x00)
1.146609000000000,pin5,'0' (0x00)
1.151193000000000,pin5,'0' (0x00)
1.155777000000000,pin5,'0' (0x00)
1.160360000000000,pin5,'0' (0x00)
1.164944000000000,pin5,{ (0x7B)
1.181585000000000,pin4,'252' (0xFC)
1.186098000000000,pin4,b (0x62)
1.190612000000000,pin4,'1' (0x01)
1.195125000000000,pin4,0 (0x30)
1.199638000000000,pin4,'16' (0x10)
1.204152000000000,pin4,'2' (0x02)
1.208665000000000,pin4,'0' (0x00)
1.213179000000000,pin4,'0' (0x00)
1.217692000000000,pin4,'0' (0x00)
1.222205000000000,pin4,'3' (0x03)
1.226719000000000,pin4,'12' (0x0C)
1.231232000000000,pin4,'0' (0x00)
1.235745000000000,pin4,'1' (0x01)
1.240259000000000,pin4,'0' (0x00)
1.244772000000000,pin4,'0' (0x00)
1.249286000000000,pin4,'0' (0x00)
1.253799000000000,pin4,'166' (0xA6)
1.258312000000000,pin4,'0' (0x00)
1.262826000000000,pin4,'0' (0x00)
1.267339000000000,pin4,'0' (0x00)
1.271853000000000,pin4,'0' (0x00)
1.276366000000000,pin4,'165' (0xA5)
1.306307000000000,pin5,'252' (0xFC)
1.310890000000000,pin5,B (0x42)
1.315474000000000,pin5,'1' (0x01)
1.320057000000000,pin5,0 (0x30)
1.324641000000000,pin5,'16' (0x10)
1.329225000000000,pin5,'3' (0x03)
1.333808000000000,pin5,'0' (0x00)
1.338392000000000,pin5,'0' (0x00)
1.342975000000000,pin5,'0' (0x00)
1.347559000000000,pin5,'0' (0x00)
1.352143000000000,pin5,'0' (0x00)
1.356726000000000,pin5,'0' (0x00)
1.361310000000000,pin5,'0' (0x00)
1.365894000000000,pin5,'0' (0x00)
1.370477000000000,pin5,'0' (0x00)
1.375061000000000,pin5,'0' (0x00)
1.379644000000000,pin5,'0' (0x00)
1.384228000000000,pin5,'0' (0x00)
1.388812000000000,pin5,'0' (0x00)
1.393395000000000,pin5,'0' (0x00)
1.397979000000000,pin5,'0' (0x00)
1.402562000000000,pin5,z (0x7A)
1.422384000000000,pin4,'252' (0xFC)
1.426898000000000,pin4,b (0x62)
1.431411000000000,pin4,'1' (0x01)
1.435924000000000,pin4,0 (0x30)
1.440438000000000,pin4,'16' (0x10)
1.444951000000000,pin4,'3' (0x03)
1.449465000000000,pin4,'0' (0x00)
1.453978000000000,pin4,'0' (0x00)
1.458491000000000,pin4,\t (0x09)
1.463005000000000,pin4,'0' (0x00)
1.467518000000000,pin4,'150' (0x96)
1.472032000000000,pin4,'166' (0xA6)
1.476545000000000,pin4,'0' (0x00)
1.481058000000000,pin4,'0' (0x00)
1.485572000000000,pin4,'0' (0x00)
1.490085000000000,pin4,'0' (0x00)
1.494598000000000,pin4,'0' (0x00)
1.499112000000000,pin4,'0' (0x00)
1.503625000000000,pin4,'0' (0x00)
1.508139000000000,pin4,'0' (0x00)
1.512652000000000,pin4,'0' (0x00)
1.517165000000000,pin4,'21' (0x15)
1.542675000000000,pin5,'252' (0xFC)
1.547259000000000,pin5,A (0x41)
1.551842000000000,pin5,'1' (0x01)
1.556426000000000,pin5,0 (0x30)
1.561010000000000,pin5,'16' (0x10)
1.565593000000000,pin5,'1' (0x01)
1.663132000000000,pin4,'252' (0xFC)
1.667646000000000,pin4,a (0x61)
1.672159000000000,pin4,'1' (0x01)
1.676673000000000,pin4,0 (0x30)
1.681186000000000,pin4,'16' (0x10)
1.685699000000000,pin4,'0' (0x00)
1.597679000000000,pin5,'0' (0x00)
1.602262000000000,pin5,'0' (0x00)
1.606846000000000,pin5,'0' (0x00)
1.611429000000000,pin5,'0' (0x00)
1.616013000000000,pin5,'0' (0x00)
1.620597000000000,pin5,'0' (0x00)
1.625180000000000,pin5,'0' (0x00)
1.629764000000000,pin5,'128' (0x80)
1.634347000000000,pin5,'0' (0x00)
1.638931000000000,pin5,'252' (0xFC)
1.663132000000000,pin4,'252' (0xFC)
1.667646000000000,pin4,a (0x61)
1.672159000000000,pin4,'1' (0x01)
1.676673000000000,pin4,0 (0x30)
1.681186000000000,pin4,'16' (0x10)
1.685699000000000,pin4,'0' (0x00)
1.690213000000000,pin4,'0' (0x00)
1.694726000000000,pin4,'0' (0x00)
1.699240000000000,pin4,'0' (0x00)
1.703753000000000,pin4,'0' (0x00)
1.708266000000000,pin4,'0' (0x00)
1.712780000000000,pin4,'0' (0x00)
1.717293000000000,pin4,'0' (0x00)
1.721806000000000,pin4,'0' (0x00)
1.726320000000000,pin4,'0' (0x00)
1.730833000000000,pin4,'0' (0x00)
1.735347000000000,pin4,'0' (0x00)
1.739860000000000,pin4,'0' (0x00)
1.744373000000000,pin4,'0' (0x00)
1.748887000000000,pin4,'0' (0x00)
1.753400000000000,pin4,'0' (0x00)
1.757914000000000,pin4,^ (0x5E)
2.949324000000000,pin5,'252' (0xFC)
2.953907000000000,pin5,B (0x42)
2.958491000000000,pin5,'1' (0x01)
2.963075000000000,pin5,0 (0x30)
2.967658000000000,pin5,'16' (0x10)
2.972242000000000,pin5,'2' (0x02)
2.976826000000000,pin5,'0' (0x00)
2.981409000000000,pin5,'0' (0x00)
2.985993000000000,pin5,'0' (0x00)
2.990576000000000,pin5,'0' (0x00)
2.995160000000000,pin5,'0' (0x00)
2.999744000000000,pin5,'0' (0x00)
3.004327000000000,pin5,'0' (0x00)
3.008911000000000,pin5,'0' (0x00)
3.013494000000000,pin5,'0' (0x00)
3.018078000000000,pin5,'0' (0x00)
3.022662000000000,pin5,'0' (0x00)
3.027245000000000,pin5,'0' (0x00)
3.031829000000000,pin5,'0' (0x00)
3.036413000000000,pin5,'0' (0x00)
3.040996000000000,pin5,'0' (0x00)
3.045580000000000,pin5,{ (0x7B)
3.062385000000000,pin4,'252' (0xFC)
3.066898000000000,pin4,b (0x62)
