Time [s], Analyzer Name, Decoded Protocol Result
0.727290000000000,pin5,'252' (0xFC)
0.731873000000000,pin5,B (0x42)
0.736457000000000,pin5,'1' (0x01)
0.741040000000000,pin5,0 (0x30)
0.745624000000000,pin5,'16' (0x10)
0.750208000000000,pin5,'2' (0x02)
0.754791000000000,pin5,'0' (0x00)
0.759375000000000,pin5,'0' (0x00)
0.763959000000000,pin5,'0' (0x00)
0.768542000000000,pin5,'0' (0x00)
0.773126000000000,pin5,'0' (0x00)
0.777709000000000,pin5,'0' (0x00)
0.782293000000000,pin5,'0' (0x00)
0.786877000000000,pin5,'0' (0x00)
0.791460000000000,pin5,'0' (0x00)
0.796044000000000,pin5,'0' (0x00)
0.800627000000000,pin5,'0' (0x00)
0.805211000000000,pin5,'0' (0x00)
0.809795000000000,pin5,'0' (0x00)
0.814378000000000,pin5,'0' (0x00)
0.818962000000000,pin5,'0' (0x00)
0.823546000000000,pin5,{ (0x7B)
0.840226000000000,pin4,'252' (0xFC)
0.844739000000000,pin4,b (0x62)
0.849253000000000,pin4,'1' (0x01)
0.853766000000000,pin4,0 (0x30)
0.858279000000000,pin4,'16' (0x10)
0.862793000000000,pin4,'2' (0x02)
0.867306000000000,pin4,'0' (0x00)
0.871819000000000,pin4,'0' (0x00)
0.876333000000000,pin4,'0' (0x00)
0.880846000000000,pin4,'1' (0x01)
0.885359000000000,pin4,\n (0x0A)
0.889873000000000,pin4,'0' (0x00)
0.894386000000000,pin4,'5' (0x05)
0.898900000000000,pin4,'0' (0x00)
0.903413000000000,pin4,'0' (0x00)
0.907926000000000,pin4,'0' (0x00)
0.912440000000000,pin4,'170' (0xAA)
0.916953000000000,pin4,'0' (0x00)
0.921466000000000,pin4,'0' (0x00)
0.925980000000000,pin4,'0' (0x00)
0.930493000000000,pin4,'0' (0x00)
0.935006000000000,pin4,'161' (0xA1)
0.964908000000000,pin5,'252' (0xFC)
0.969492000000000,pin5,B (0x42)
0.974076000000000,pin5,'1' (0x01)
0.978659000000000,pin5,0 (0x30)
0.983243000000000,pin5,'16' (0x10)
0.987826000000000,pin5,'3' (0x03)
0.992410000000000,pin5,'0' (0x00)
0.996994000000000,pin5,'0' (0x00)
1.001577000000000,pin5,'0' (0x00)
1.006161000000000,pin5,'0' (0x00)
1.010745000000000,pin5,'0' (0x00)
1.015328000000000,pin5,'0' (0x00)
1.019912000000000,pin5,'0' (0x00)
1.024495000000000,pin5,'0' (0x00)
1.029079000000000,pin5,'0' (0x00)
1.033663000000000,pin5,'0' (0x00)
1.038246000000000,pin5,'0' (0x00)
1.042830000000000,pin5,'0' (0x00)
1.047413000000000,pin5,'0' (0x00)
1.051997000000000,pin5,'0' (0x00)
1.056581000000000,pin5,'0' (0x00)
1.061164000000000,pin5,z (0x7A)
1.080947000000000,pin4,'252' (0xFC)
1.085460000000000,pin4,b (0x62)
1.089974000000000,pin4,'1' (0x01)
1.094487000000000,pin4,0 (0x30)
1.099000000000000,pin4,'16' (0x10)
1.103514000000000,pin4,'3' (0x03)
1.108027000000000,pin4,'0' (0x00)
1.112540000000000,pin4,'0' (0x00)
1.117054000000000,pin4,'4' (0x04)
1.121567000000000,pin4,'0' (0x00)
1.126080000000000,pin4,'152' (0x98)
1.130594000000000,pin4,'157' (0x9D)
1.135107000000000,pin4,'0' (0x00)
1.139621000000000,pin4,'0' (0x00)
1.144134000000000,pin4,'0' (0x00)
1.148647000000000,pin4,'0' (0x00)
1.153161000000000,pin4,'0' (0x00)
1.157674000000000,pin4,'0' (0x00)
1.162187000000000,pin4,'0' (0x00)
1.166701000000000,pin4,'0' (0x00)
1.171214000000000,pin4,'0' (0x00)
1.175727000000000,pin4,! (0x21)
1.201277000000000,pin5,'252' (0xFC)
1.205861000000000,pin5,A (0x41)
1.210444000000000,pin5,'1' (0x01)
1.215028000000000,pin5,0 (0x30)
1.219612000000000,pin5,'16' (0x10)
1.224195000000000,pin5,'1' (0x01)
1.228779000000000,pin5,'1' (0x01)
1.233362000000000,pin5,'0' (0x00)
1.237946000000000,pin5,'0' (0x00)
1.242530000000000,pin5,'0' (0x00)
1.247113000000000,pin5,'0' (0x00)
1.251697000000000,pin5,'0' (0x00)
1.256280000000000,pin5,'0' (0x00)
1.260864000000000,pin5,'0' (0x00)
1.265448000000000,pin5,'0' (0x00)
1.270031000000000,pin5,'0' (0x00)
1.274615000000000,pin5,'0' (0x00)
1.279199000000000,pin5,'0' (0x00)
1.283782000000000,pin5,'0' (0x00)
1.288366000000000,pin5,'128' (0x80)
1.292949000000000,pin5,'0' (0x00)
1.297533000000000,pin5,'252' (0xFC)
1.321668000000000,pin4,'252' (0xFC)
1.326181000000000,pin4,a (0x61)
1.330695000000000,pin4,'1' (0x01)
1.335208000000000,pin4,0 (0x30)
1.339721000000000,pin4,'16' (0x10)
1.344235000000000,pin4,'0' (0x00)
1.348748000000000,pin4,'0' (0x00)
1.353261000000000,pin4,'0' (0x00)
1.357775000000000,pin4,'0' (0x00)
1.362288000000000,pin4,'0' (0x00)
1.366802000000000,pin4,'0' (0x00)
1.371315000000000,pin4,'0' (0x00)
1.375828000000000,pin4,'0' (0x00)
1.380342000000000,pin4,'0' (0x00)
1.384855000000000,pin4,'0' (0x00)
1.389368000000000,pin4,'0' (0x00)
1.393882000000000,pin4,'0' (0x00)
1.398395000000000,pin4,'0' (0x00)
1.402908000000000,pin4,'0' (0x00)
1.407422000000000,pin4,'0' (0x00)
1.411935000000000,pin4,'0' (0x00)
1.416448000000000,pin4,^ (0x5E)
2.605217000000000,pin5,'252' (0xFC)
2.609801000000000,pin5,B (0x42)
2.614385000000000,pin5,'1' (0x01)
2.618968000000000,pin5,0 (0x30)
