Time [s], Analyzer Name, Decoded Protocol Result
0.328687000000000,pin5,'252' (0xFC)
0.333271000000000,pin5,B (0x42)
0.337855000000000,pin5,'1' (0x01)
0.342438000000000,pin5,0 (0x30)
0.347022000000000,pin5,'16' (0x10)
0.351605000000000,pin5,'2' (0x02)
0.356189000000000,pin5,'0' (0x00)
0.360773000000000,pin5,'0' (0x00)
0.365356000000000,pin5,'0' (0x00)
0.369940000000000,pin5,'0' (0x00)
0.374523000000000,pin5,'0' (0x00)
0.379107000000000,pin5,'0' (0x00)
0.383691000000000,pin5,'0' (0x00)
0.388274000000000,pin5,'0' (0x00)
0.392858000000000,pin5,'0' (0x00)
0.397442000000000,pin5,'0' (0x00)
0.402025000000000,pin5,'0' (0x00)
0.406609000000000,pin5,'0' (0x00)
0.411192000000000,pin5,'0' (0x00)
0.415776000000000,pin5,'0' (0x00)
0.420360000000000,pin5,'0' (0x00)
0.424943000000000,pin5,{ (0x7B)
0.445874000000000,pin4,'252' (0xFC)
0.450387000000000,pin4,b (0x62)
0.454901000000000,pin4,'1' (0x01)
0.459414000000000,pin4,0 (0x30)
0.463927000000000,pin4,'16' (0x10)
0.468441000000000,pin4,'2' (0x02)
0.472954000000000,pin4,'0' (0x00)
0.477468000000000,pin4,'0' (0x00)
0.481981000000000,pin4,'1' (0x01)
0.486494000000000,pin4,'3' (0x03)
0.491008000000000,pin4,'12' (0x0C)
0.495521000000000,pin4,'0' (0x00)
0.500035000000000,pin4,'1' (0x01)
0.504548000000000,pin4,'0' (0x00)
0.509061000000000,pin4,'0' (0x00)
0.513575000000000,pin4,'0' (0x00)
0.518088000000000,pin4,'166' (0xA6)
0.522601000000000,pin4,'0' (0x00)
0.527115000000000,pin4,'0' (0x00)
0.531628000000000,pin4,'0' (0x00)
0.536142000000000,pin4,'0' (0x00)
0.540655000000000,pin4,'164' (0xA4)
0.566358000000000,pin5,'252' (0xFC)
0.570942000000000,pin5,B (0x42)
0.575525000000000,pin5,'1' (0x01)
0.580109000000000,pin5,0 (0x30)
0.584693000000000,pin5,'16' (0x10)
0.589276000000000,pin5,'3' (0x03)
0.593860000000000,pin5,'0' (0x00)
