Time [s], Analyzer Name, Decoded Protocol Result
0.002379000000000,pin4,'0' (0x00)
0.006892000000000,pin4,'0' (0x00)
0.011406000000000,pin4,'0' (0x00)
0.015919000000000,pin4,'0' (0x00)
0.020433000000000,pin4,'0' (0x00)
0.024946000000000,pin4,'0' (0x00)
0.029459000000000,pin4,'0' (0x00)
0.033973000000000,pin4,'0' (0x00)
0.038486000000000,pin4,'0' (0x00)
0.043000000000000,pin4,'0' (0x00)
0.047513000000000,pin4,'0' (0x00)
0.052026000000000,pin4,^ (0x5E)
1.243968000000000,pin5,'252' (0xFC)
1.248552000000000,pin5,B (0x42)
1.253135000000000,pin5,'1' (0x01)
1.257719000000000,pin5,0 (0x30)
1.262302000000000,pin5,'16' (0x10)
1.266886000000000,pin5,'2' (0x02)
1.271470000000000,pin5,'0' (0x00)
1.276053000000000,pin5,'0' (0x00)
1.280637000000000,pin5,'0' (0x00)
1.285221000000000,pin5,'0' (0x00)
1.289804000000000,pin5,'0' (0x00)
1.294388000000000,pin5,'0' (0x00)
1.298971000000000,pin5,'0' (0x00)
1.303555000000000,pin5,'0' (0x00)
1.308139000000000,pin5,'0' (0x00)
1.312722000000000,pin5,'0' (0x00)
1.317306000000000,pin5,'0' (0x00)
1.321889000000000,pin5,'0' (0x00)
1.326473000000000,pin5,'0' (0x00)
1.331057000000000,pin5,'0' (0x00)
1.335640000000000,pin5,'0' (0x00)
1.340224000000000,pin5,{ (0x7B)
1.356599000000000,pin4,'252' (0xFC)
1.361113000000000,pin4,b (0x62)
1.365626000000000,pin4,'1' (0x01)
1.370139000000000,pin4,0 (0x30)
1.374653000000000,pin4,'16' (0x10)
1.379166000000000,pin4,'2' (0x02)
1.383680000000000,pin4,'0' (0x00)
1.388193000000000,pin4,'0' (0x00)
1.392706000000000,pin4,'0' (0x00)
1.397220000000000,pin4,'1' (0x01)
1.401733000000000,pin4,'29' (0x1D)
1.406246000000000,pin4,'0' (0x00)
1.410760000000000,pin4,'5' (0x05)
1.415273000000000,pin4,'0' (0x00)
1.419787000000000,pin4,'0' (0x00)
1.424300000000000,pin4,'0' (0x00)
1.428813000000000,pin4,'165' (0xA5)
1.433327000000000,pin4,'0' (0x00)
1.437840000000000,pin4,'0' (0x00)
1.442353000000000,pin4,'0' (0x00)
1.446867000000000,pin4,'0' (0x00)
1.451380000000000,pin4,'147' (0x93)
1.476144000000000,pin5,'252' (0xFC)
1.480727000000000,pin5,B (0x42)
1.485311000000000,pin5,'1' (0x01)
1.489895000000000,pin5,0 (0x30)
